topic_id,keyword,score
0,detective,0.052045
0,murder,0.030882
0,case,0.03002
0,police,0.022834
0,cases,0.021745
0,detectives,0.020158
0,killer,0.019976
0,investigation,0.016101
0,city,0.014349
0,murder case,0.013773
1,earth,0.035194
1,world,0.029636
1,alien,0.020693
1,love,0.013024
1,human,0.011731
1,mysterious,0.011497
1,space,0.011089
1,population,0.011089
1,galaxy,0.011089
1,channel,0.011089
2,love,0.029023
2,father,0.025395
2,family,0.016949
2,daughter,0.015981
2,relationship,0.014447
2,meet,0.013143
2,son,0.012966
2,diego,0.011691
2,live,0.011414
2,different,0.011414
3,marriage,0.040108
3,love,0.031982
3,husband,0.027494
3,meets,0.027106
3,affair,0.020969
3,younger,0.020969
3,sakura,0.018153
3,sakura hiraga,0.018153
3,hiraga,0.018153
3,fan,0.018153
4,medical,0.046535
4,artem,0.023537
4,surgeon,0.022179
4,doctor,0.020009
4,siri,0.01955
4,hospital,0.01955
4,rosemary,0.01955
4,patient,0.01536
4,hel,0.01536
4,psychiatrist,0.01536
5,eun,0.026544
5,friend,0.021148
5,self,0.020123
5,li,0.018966
5,soo,0.018966
5,ha,0.018966
5,love,0.016707
5,journey,0.016559
5,money,0.015801
5,eun ha,0.014901
6,vampire,0.0377
6,vampires,0.02072
6,young,0.016207
6,half,0.016124
6,min,0.016124
6,secret,0.014295
6,human,0.014096
6,discover,0.014096
6,school,0.013999
6,drug,0.013707
7,spy,0.022064
7,1995,0.018579
7,ador,0.018579
7,citadel,0.018579
7,tensions,0.016097
7,young,0.015409
7,mission,0.014288
7,agent,0.013871
7,brother,0.013184
7,martial arts,0.013179
8,telenovela,0.068155
8,mexican,0.042703
8,la,0.038373
8,televisa,0.037604
8,mexican telenovela,0.034829
8,el,0.028884
8,remake,0.025437
8,star,0.024402
8,mexico,0.024126
8,starring,0.022971
9,school,0.059021
9,students,0.056343
9,elite,0.03248
9,university,0.022661
9,student,0.020801
9,male students,0.019617
9,lou,0.019617
9,cutthroat,0.019617
9,prestigious,0.018036
9,girls,0.017472
10,drug,0.033992
10,difficult,0.029917
10,kovalev,0.027693
10,soccer,0.027693
10,gang,0.023992
10,football,0.019644
10,anton,0.019644
10,presidential,0.019644
10,presidential candidate,0.019644
10,world,0.01884
11,secrets,0.044286
11,mother,0.040638
11,family,0.031788
11,lucia,0.026831
11,deadly,0.025098
11,wife,0.023634
11,dark,0.023222
11,murdered,0.022184
11,community,0.020322
11,accident,0.020322
12,british,0.044824
12,war,0.039052
12,russian,0.03542
12,king,0.032881
12,agent,0.029691
12,escape,0.029289
12,wwii,0.026512
12,scott,0.025309
12,german,0.025309
12,historical,0.025309
13,convicted,0.040992
13,madeline,0.032206
13,case,0.029487
13,murder,0.025667
13,prison,0.025173
13,justice,0.023126
13,maya,0.022846
13,miniseries based,0.022846
13,melissa,0.022846
13,keith,0.022846
14,friends,0.057728
14,navigate,0.050562
14,friendship,0.038238
14,stan,0.035026
14,school,0.029438
14,jennings,0.026027
14,blog,0.026027
14,mines,0.026027
14,complicated reality,0.026027
14,reality friendship,0.026027
