keyword,direction,delta_value
village,hit+,0.0033306195998847447
war,hit+,0.003298478338805321
love,hit+,0.003183660332944094
journey,hit+,0.0029701433462151106
bond,hit+,0.002715642220542341
music,hit+,0.0026966134608521573
unexpected,hit+,0.002589052404273445
unlikely,hit+,0.0023849708256736446
york,hit+,0.0020727596426543394
india,hit+,0.0020621320311184728
friendship,hit+,0.002044247350577104
career,hit+,0.0019589955350601453
london,hit+,0.0019169380851401096
indian,hit+,0.0017884032033847032
son,hit+,0.0017825650582036032
living,hit+,0.0017376186964222413
mother,hit+,0.0016752969001173684
british,hit+,0.00164882895640434
sets,hit+,0.001594476822312688
teacher,hit+,0.0015393165040177887
extraordinary,hit+,0.0015033626936072682
look,hit+,0.0014880498900097002
early,hit+,0.0013819563032307735
raised,hit+,0.0013268317607131425
childhood,hit+,0.0013206607568261668
political,hit+,0.0013036732661935663
musical,hit+,0.001284775969607236
york city,hit+,0.0012754837187172346
army,hit+,0.001271617000276306
film,hit+,0.0012572012206279373
friends,nonhit+,0.004875979381986723
house,nonhit+,0.004560801641525608
killer,nonhit+,0.003861469323662907
dead,nonhit+,0.0035795791540880134
evil,nonhit+,0.0035350863024821576
night,nonhit+,0.003361430985853081
town,nonhit+,0.003028535957251233
mysterious,nonhit+,0.0029600599412327724
horror,nonhit+,0.002925475091844276
haunted,nonhit+,0.002857130166623419
survive,nonhit+,0.0027432931552750835
dark,nonhit+,0.0027337470902255383
blood,nonhit+,0.002709732071592898
terrifying,nonhit+,0.002707388993318872
strange,nonhit+,0.002564965749021669
deadly,nonhit+,0.0025247696754386235
discover,nonhit+,0.0024531797689712367
stop,nonhit+,0.0024493427575113195
hell,nonhit+,0.0023845950750949222
soon,nonhit+,0.0023577331914049395
woods,nonhit+,0.002268299039415522
weekend,nonhit+,0.0022591071442787146
game,nonhit+,0.002253203895772916
remote,nonhit+,0.002215069111201615
secret,nonhit+,0.002213527366491954
turns,nonhit+,0.0021898511680417385
island,nonhit+,0.0021855872958524577
christmas,nonhit+,0.0021561886599894744
ancient,nonhit+,0.002099207425817773
sister,nonhit+,0.002016585382254889
